City,,Day_of_Week,Ride_Distance_KM,Ride_Type,Weather,Available_Drivers,Demand_Level,Hour_of_Day,Is_Weekend,Ride_Priority,Time_of_Day,Surge_Multiplier
Hồ Chí Minh,,0,19.24,Xe Máy,Mưa,0.419381,0.773927,10,0,89.48,Chiều,1.76
Hồ Chí Minh,,2,17.39,Xe Máy,Mưa Bão,0.747239,0.698894,14,0,87.5,Chiều,1.34
Hải Phòng,,5,4.45,Xe ViP,Mưa,0.369585,0.5943,11,1,96.11,Cao điểm Sáng,2.19
Hồ Chí Minh,,6,14.22,Xe ViP,Nhiều Mây,0.444783,0.581041,7,1,94.12,Chiều,1.2
Hà Nội,,6,8.86,Ô Tô 4 Chỗ,Mưa Bão,0.501374,0.582877,10,1,95.51,Cao điểm Sáng,2.48
Hải Phòng,,5,16.41,Xe ViP,Nhiều Mây,0.923878,0.730239,7,1,86.24,Cao điểm Sáng,1.28
Cần Thơ,,1,8.91,Ô Tô 4 Chỗ,Nắng,0.816639,0.799256,19,0,87.57,Cao điểm Tối,1.12
Hải Phòng,,0,9.8,Xe Máy,Nhiều Mây,0.538443,0.931645,19,0,87.69,Cao điểm Tối,1.7
Hải Phòng,,2,9.26,Ô Tô 4 Chỗ,Nắng,0.472492,0.720981,17,0,98.12,Đêm,1.37
Cần Thơ,,1,17.37,Ô Tô 4 Chỗ,Nhiều Mây,0.693211,0.428395,1,0,93.17,Chiều,1
Hồ Chí Minh,,3,11.09,Xe Máy,Mưa,0.342231,0.772313,7,0,98.02,Chiều,1.83
Hồ Chí Minh,,5,0.77,Xe Máy,Mưa Bão,0.859666,0.664724,19,1,96,Chiều,1.12
Hồ Chí Minh,,2,0.83,Xe Máy,Nắng,0.373843,0.92533,10,0,87.47,Cao điểm Tối,2.12
Cần Thơ,,2,14.71,Xe Máy,Mưa Bão,0.726814,0.974328,12,0,97.99,Cao điểm Tối,2.43
Hà Nội,,4,11.05,Ô Tô 4 Chỗ,Mưa Bão,0.63012,0.772581,7,0,94.5,Cao điểm Sáng,2.24
Cần Thơ,,5,16.26,Xe Máy,Mưa Bão,0.234359,0.575622,6,1,93.98,Chiều,1.8
Hà Nội,,3,7.25,Ô Tô 4 Chỗ,Nhiều Mây,0.441422,0.713892,5,0,98.79,Đêm,1.41
Cần Thơ,,6,17.22,Xe ViP,Nắng,0.839211,0.814782,0,1,88.03,Đêm,1
Hồ Chí Minh,,0,6.02,Xe Máy,Mưa,0.6023,0.432226,13,0,94.84,Cao điểm Sáng,1.82
Cần Thơ,,5,19.87,Xe ViP,Nhiều Mây,0.714521,0.647449,18,1,88.07,Đêm,1
Đà Nẵng,,1,9.95,Xe Máy,Mưa Bão,0.912587,0.865366,19,0,86.59,Cao điểm Sáng,2.28
Hải Phòng,,3,13.71,Ô Tô 4 Chỗ,Nắng,0.523666,0.672192,8,0,99.43,Cao điểm Sáng,1.43
Đà Nẵng,,4,17.19,Xe ViP,Mưa,0.37655,0.542192,1,0,93.22,Cao điểm Tối,2.41
Cần Thơ,,1,13.21,Ô Tô 4 Chỗ,Mưa Bão,0.716332,0.905914,20,0,89.82,Cao điểm Sáng,2.06
Hà Nội,,1,6.28,Xe Máy,Mưa,0.739858,0.86623,15,0,97.53,Cao điểm Sáng,2.42
Hồ Chí Minh,,1,10.88,Ô Tô 4 Chỗ,Mưa Bão,0.398331,0.751213,12,0,97.47,Cao điểm Sáng,2.92
Đà Nẵng,,6,4.93,Xe Máy,Nắng,0.669203,0.724414,18,1,91.79,Cao điểm Tối,1.12
Hà Nội,,5,6.23,Xe Máy,Mưa,0.360087,0.993338,8,1,95.43,Cao điểm Sáng,2.93
Hải Phòng,,5,15.67,Xe ViP,Nắng,0.841036,0.949778,20,1,86.41,Đêm,1.03
Hồ Chí Minh,,1,9.45,Xe ViP,Nhiều Mây,0.778313,0.467562,20,0,89.86,Cao điểm Sáng,1.28
Đà Nẵng,,4,17.25,Xe ViP,Nhiều Mây,0.546096,0.604022,21,0,91.84,Cao điểm Sáng,1.27
Hà Nội,,2,3.97,Ô Tô 4 Chỗ,Nắng,0.260884,0.622405,5,0,98.03,Cao điểm Sáng,1.73
Cần Thơ,,6,2.86,Xe ViP,Nắng,0.588592,0.622645,13,1,92.35,Chiều,1
Hồ Chí Minh,,0,13.37,Ô Tô 4 Chỗ,Nắng,0.332121,0.496857,13,0,95.22,Cao điểm Tối,1.35
Hà Nội,,3,13.17,Xe Máy,Mưa Bão,0.200887,0.430959,12,0,84.98,Cao điểm Sáng,2.19
Đà Nẵng,,4,3.09,Xe Máy,Nhiều Mây,0.577775,0.556063,20,0,95.42,Chiều,1
Hải Phòng,,2,16.24,Xe Máy,Mưa Bão,0.718088,0.56689,2,0,89.82,Cao điểm Tối,2.32
Hải Phòng,,3,3.91,Xe ViP,Mưa Bão,0.79273,0.617582,12,0,92.14,Chiều,1.3
Hồ Chí Minh,,6,18.02,Ô Tô 4 Chỗ,Nhiều Mây,0.252258,0.997974,23,1,93.26,Chiều,2.12
Đà Nẵng,,3,15.23,Ô Tô 4 Chỗ,Nắng,0.896859,0.924496,0,0,84.91,Cao điểm Sáng,1.27
Hồ Chí Minh,,3,14.51,Xe Máy,Nhiều Mây,0.910634,0.667517,11,0,95.44,Cao điểm Sáng,1.37
Hà Nội,,3,2.94,Xe ViP,Mưa Bão,0.936749,0.87796,12,0,86.93,Cao điểm Tối,1.55
Hà Nội,,3,4.14,Ô Tô 4 Chỗ,Mưa,0.524743,0.609249,3,0,84.53,Đêm,1.29
Đà Nẵng,,1,0.52,Xe ViP,Nắng,0.422522,0.669812,13,0,92.09,Cao điểm Tối,1.54
Hà Nội,,5,11.75,Ô Tô 4 Chỗ,Mưa,0.698949,0.542654,5,1,86.57,Chiều,1.38
Hải Phòng,,6,16.23,Xe ViP,Nhiều Mây,0.805392,0.909948,21,1,94.91,Cao điểm Sáng,1.2
Hà Nội,,6,5.95,Xe ViP,Nắng,0.666668,0.756276,20,1,87.21,Cao điểm Sáng,1.37
Hà Nội,,5,4.92,Xe ViP,Mưa Bão,0.286743,0.607307,11,1,84.89,Đêm,1.76
Hà Nội,,6,8.16,Xe Máy,Nắng,0.591501,0.488315,4,1,88.56,Cao điểm Tối,1.13
Hải Phòng,,6,17.62,Xe ViP,Mưa Bão,0.209496,0.919557,10,1,85.63,Cao điểm Sáng,2.84
Hải Phòng,,1,2.37,Xe ViP,Mưa,0.96404,0.634882,3,0,91.79,Cao điểm Sáng,1.84
Hải Phòng,,2,6.3,Xe ViP,Nhiều Mây,0.345995,0.734079,18,0,94.38,Chiều,1.58
Hải Phòng,,0,9.09,Xe Máy,Mưa,0.623602,0.825504,16,0,91.28,Cao điểm Sáng,2.51
Hải Phòng,,0,18.39,Xe ViP,Mưa Bão,0.217363,0.569434,16,0,93.33,Đêm,1.78
Hà Nội,,2,1.85,Ô Tô 4 Chỗ,Mưa,0.753197,0.955566,21,0,89.75,Cao điểm Sáng,2.46
Hồ Chí Minh,,1,13.43,Xe Máy,Nhiều Mây,0.242268,0.982044,5,0,95.66,Chiều,2.11
Đà Nẵng,,5,12.67,Xe ViP,Mưa,0.819915,0.945651,19,1,89.75,Chiều,1.3
Hồ Chí Minh,,4,2.73,Xe ViP,Mưa Bão,0.899813,0.990243,18,0,93.79,Chiều,1.27
Đà Nẵng,,3,9.06,Xe ViP,Mưa Bão,0.417613,0.445417,7,0,85.3,Đêm,1.17
Hà Nội,,5,3.17,Xe ViP,Nhiều Mây,0.72336,0.904257,15,1,87.33,Đêm,1.27
Hà Nội,,6,18.51,Xe Máy,Mưa Bão,0.466213,0.449407,10,1,96.39,Chiều,1.35
Cần Thơ,,3,9.52,Xe Máy,Mưa Bão,0.885914,0.412449,23,0,94.66,Chiều,1.12
Hồ Chí Minh,,6,5.71,Xe ViP,Mưa Bão,0.200853,0.469204,1,1,95.86,Cao điểm Tối,2.58
Hồ Chí Minh,,4,7.91,Xe ViP,Nắng,0.505757,0.44249,19,0,98.59,Cao điểm Tối,1.16
Hà Nội,,6,4.53,Xe ViP,Mưa,0.399486,0.758904,2,1,87.03,Đêm,1.86
Hà Nội,,2,1.95,Xe Máy,Mưa,0.470997,0.50727,7,0,94.07,Cao điểm Tối,2.44
Hồ Chí Minh,,0,1.56,Ô Tô 4 Chỗ,Nắng,0.290361,0.416837,10,0,86.98,Chiều,1.19
Hà Nội,,6,6.78,Xe ViP,Nắng,0.441019,0.912527,17,1,94.89,Cao điểm Tối,1.85
Hà Nội,,6,10.65,Xe ViP,Nắng,0.740705,0.541843,11,1,91.39,Chiều,1
Hà Nội,,6,6.03,Xe Máy,Mưa,0.858383,0.540965,21,1,84.68,Cao điểm Tối,1.72
Hà Nội,,5,11.79,Ô Tô 4 Chỗ,Mưa Bão,0.657847,0.717035,10,1,84.64,Đêm,1.49
Cần Thơ,,1,16.13,Xe Máy,Nhiều Mây,0.706396,0.698491,22,0,87.25,Cao điểm Sáng,1.36
Hà Nội,,1,0.81,Ô Tô 4 Chỗ,Mưa Bão,0.956923,0.713354,1,0,91.92,Cao điểm Tối,1.51
Hồ Chí Minh,,0,1.56,Xe Máy,Nắng,0.236025,0.599046,13,0,87.3,Cao điểm Sáng,1.66
Đà Nẵng,,5,9.89,Ô Tô 4 Chỗ,Mưa Bão,0.500681,0.572608,20,1,97.97,Cao điểm Sáng,2.52
Hải Phòng,,2,17.94,Ô Tô 4 Chỗ,Mưa Bão,0.368745,0.811316,9,0,94.9,Chiều,1.96
Đà Nẵng,,6,4.12,Ô Tô 4 Chỗ,Nhiều Mây,0.602308,0.834248,18,1,86.54,Cao điểm Sáng,1.41
Hà Nội,,6,13.1,Xe ViP,Nắng,0.71933,0.438682,13,1,87.71,Cao điểm Sáng,1.2
Cần Thơ,,3,6.79,Xe Máy,Nhiều Mây,0.709767,0.746281,1,0,90.19,Cao điểm Sáng,1.34
Hải Phòng,,3,5.47,Ô Tô 4 Chỗ,Nắng,0.524313,0.433289,2,0,92.69,Chiều,1
Hồ Chí Minh,,1,18.4,Xe ViP,Mưa Bão,0.708449,0.783577,15,0,92.04,Đêm,1.37
Hà Nội,,1,9.13,Ô Tô 4 Chỗ,Nắng,0.431499,0.452355,14,0,97.89,Chiều,1.03
Hải Phòng,,3,11.41,Xe Máy,Mưa,0.653742,0.959047,20,0,93.88,Cao điểm Sáng,2.89
Hồ Chí Minh,,2,11.95,Xe ViP,Mưa,0.342888,0.696589,3,0,89.14,Đêm,1.87
Hồ Chí Minh,,3,5.9,Xe ViP,Nắng,0.298,0.599281,4,0,94.34,Chiều,1.45
Đà Nẵng,,3,19.68,Xe Máy,Nắng,0.761202,0.879352,14,0,87.21,Chiều,1.18
Hải Phòng,,6,5.29,Xe ViP,Nhiều Mây,0.990996,0.436972,11,1,86.69,Cao điểm Sáng,1.02
Đà Nẵng,,5,6.06,Xe ViP,Nắng,0.447156,0.480429,21,1,87.59,Chiều,1
Cần Thơ,,4,18.34,Xe ViP,Nhiều Mây,0.935114,0.971129,4,0,88.41,Đêm,1.05
Hà Nội,,4,3.89,Xe ViP,Nắng,0.271892,0.536507,23,0,96.81,Đêm,1.4
Hà Nội,,2,10.12,Xe ViP,Nắng,0.553647,0.489025,18,0,97.35,Cao điểm Tối,1.13
Đà Nẵng,,2,8.88,Ô Tô 4 Chỗ,Nhiều Mây,0.799376,0.837175,8,0,88.52,Cao điểm Tối,1.29
Đà Nẵng,,5,19.61,Ô Tô 4 Chỗ,Nắng,0.657023,0.411413,22,1,88.96,Cao điểm Sáng,1.25
Hải Phòng,,2,13.84,Xe Máy,Mưa,0.606437,0.872155,16,0,98.85,Cao điểm Sáng,2.7
Cần Thơ,,3,11.48,Ô Tô 4 Chỗ,Nắng,0.228625,0.890383,13,0,91.98,Đêm,1.99
Cần Thơ,,2,12.56,Xe ViP,Nắng,0.741009,0.527772,13,0,84.01,Chiều,1
Hà Nội,,6,0.97,Xe Máy,Mưa,0.694522,0.676848,17,1,90.52,Cao điểm Tối,2.41
Đà Nẵng,,5,10.95,Xe ViP,Nắng,0.359785,0.618571,22,1,88.89,Đêm,1.36
Hải Phòng,,6,9.33,Xe ViP,Mưa Bão,0.817096,0.923518,9,1,86.29,Đêm,1.46
Cần Thơ,,3,13.02,Xe ViP,Nắng,0.923595,0.419506,5,0,84.36,Cao điểm Tối,1.15
Đà Nẵng,,6,19.26,Xe Máy,Mưa Bão,0.401252,0.483597,22,1,88.17,Chiều,1.34
Hồ Chí Minh,,6,15.98,Ô Tô 4 Chỗ,Nắng,0.583053,0.466726,5,1,92.94,Đêm,1
Hà Nội,,0,7.92,Xe Máy,Nhiều Mây,0.469696,0.892953,1,0,90.88,Chiều,1.63
Hà Nội,,2,14.21,Xe ViP,Nắng,0.217339,0.734452,1,0,92.33,Đêm,1.78
Hải Phòng,,6,15.29,Ô Tô 4 Chỗ,Nhiều Mây,0.350584,0.847414,2,1,95.68,Đêm,1.54
Hà Nội,,5,7.33,Ô Tô 4 Chỗ,Nhiều Mây,0.810386,0.480001,17,1,91.24,Cao điểm Tối,1.39
Hồ Chí Minh,,0,14.54,Xe ViP,Nắng,0.910973,0.790766,6,0,87.35,Cao điểm Tối,1.15
Hải Phòng,,4,6.65,Xe Máy,Nhiều Mây,0.416521,0.999981,10,0,89.19,Đêm,1.88
Đà Nẵng,,3,19.18,Ô Tô 4 Chỗ,Nhiều Mây,0.731996,0.492481,12,0,88.58,Cao điểm Sáng,1.33
Hải Phòng,,5,0.5,Xe ViP,Nhiều Mây,0.851932,0.625255,13,1,88.52,Chiều,1
Hải Phòng,,1,15.59,Ô Tô 4 Chỗ,Nhiều Mây,0.887073,0.666021,17,0,86.49,Cao điểm Tối,1.38
Hà Nội,,5,10.91,Xe Máy,Mưa Bão,0.686911,0.728829,16,1,93.56,Cao điểm Sáng,2.07
Đà Nẵng,,0,14.34,Xe ViP,Nắng,0.894308,0.438218,14,0,93.42,Cao điểm Sáng,1.36
Hải Phòng,,0,14.19,Xe ViP,Nắng,0.679681,0.877455,10,0,86.95,Cao điểm Sáng,1.7
Cần Thơ,,0,14.37,Ô Tô 4 Chỗ,Nhiều Mây,0.436773,0.934002,6,0,91.03,Đêm,1.75
Đà Nẵng,,0,10.33,Xe ViP,Mưa Bão,0.341742,0.430886,16,0,91.62,Đêm,1.28
Hồ Chí Minh,,1,18.55,Ô Tô 4 Chỗ,Mưa,0.497738,0.844135,0,0,94.26,Đêm,1.84
Cần Thơ,,1,10.46,Xe ViP,Mưa,0.713869,0.996738,0,0,93.77,Cao điểm Sáng,2.4
Cần Thơ,,4,15.8,Xe ViP,Mưa,0.866563,0.532556,4,0,94.12,Chiều,1.35
Hải Phòng,,2,14.61,Ô Tô 4 Chỗ,Mưa Bão,0.2926,0.46197,3,0,97.22,Đêm,1.46
Hồ Chí Minh,,3,13.87,Xe ViP,Mưa Bão,0.569567,0.472527,6,0,88.43,Đêm,1.15
Đà Nẵng,,5,17.68,Xe Máy,Mưa Bão,0.247262,0.65275,9,1,86.91,Cao điểm Tối,2.6
Hà Nội,,1,19.5,Xe ViP,Mưa,0.993131,0.503549,21,0,86.55,Đêm,1.18
Hồ Chí Minh,,5,14.13,Xe ViP,Mưa,0.344164,0.610942,9,1,86.31,Đêm,1.79
Hà Nội,,1,2.94,Ô Tô 4 Chỗ,Mưa,0.345593,0.740792,13,0,87.15,Cao điểm Tối,2.95
Hải Phòng,,2,12.81,Xe Máy,Mưa,0.240943,0.956994,14,0,87.47,Chiều,2.46
Đà Nẵng,,0,2.33,Ô Tô 4 Chỗ,Nhiều Mây,0.325674,0.43647,14,0,92.77,Cao điểm Tối,1.4
Hồ Chí Minh,,4,10.53,Xe ViP,Mưa Bão,0.842141,0.911415,0,0,95.38,Đêm,1.28
Hồ Chí Minh,,0,19.1,Ô Tô 4 Chỗ,Mưa Bão,0.955448,0.65893,18,0,93.43,Đêm,1.19
Hải Phòng,,4,4.75,Xe Máy,Mưa Bão,0.597706,0.941708,7,0,92.44,Chiều,1.63
Hà Nội,,6,10.15,Ô Tô 4 Chỗ,Nắng,0.743491,0.936732,21,1,93.08,Cao điểm Sáng,1.45
Hải Phòng,,2,7.37,Ô Tô 4 Chỗ,Mưa,0.684902,0.994257,17,0,92.12,Cao điểm Sáng,2.1
Hồ Chí Minh,,5,12.32,Xe ViP,Mưa Bão,0.794358,0.97154,8,1,85.64,Cao điểm Tối,2.28
Hồ Chí Minh,,6,5.4,Xe Máy,Nhiều Mây,0.558207,0.488916,20,1,89.74,Chiều,1
Hồ Chí Minh,,5,13.57,Xe Máy,Mưa Bão,0.441887,0.471989,18,1,85.66,Cao điểm Tối,2.35
Hà Nội,,6,2.93,Xe ViP,Mưa,0.642879,0.706328,18,1,93.27,Cao điểm Sáng,1.99
Cần Thơ,,0,1.13,Xe Máy,Mưa,0.292317,0.841306,14,0,95.55,Chiều,2.03
Hồ Chí Minh,,4,6.49,Xe Máy,Mưa Bão,0.745639,0.658623,12,0,95.75,Cao điểm Tối,1.72
Cần Thơ,,1,6.72,Ô Tô 4 Chỗ,Nhiều Mây,0.843932,0.513526,10,0,96.19,Cao điểm Tối,1.27
Đà Nẵng,,3,10.12,Xe ViP,Nhiều Mây,0.673579,0.47331,14,0,92.13,Đêm,1
Đà Nẵng,,2,5.43,Xe ViP,Nhiều Mây,0.829086,0.691886,11,0,95.24,Đêm,1
Hà Nội,,3,16.32,Xe ViP,Mưa Bão,0.388012,0.657092,8,0,90.24,Cao điểm Sáng,2.29
Hồ Chí Minh,,0,5.18,Xe ViP,Nắng,0.598483,0.660053,2,0,88.51,Đêm,1.09
Cần Thơ,,3,9.33,Ô Tô 4 Chỗ,Nắng,0.483159,0.414135,7,0,93.22,Cao điểm Sáng,1.31
Đà Nẵng,,4,2.37,Xe Máy,Nắng,0.409851,0.507,10,0,86.07,Đêm,1.15
Hải Phòng,,3,2.07,Ô Tô 4 Chỗ,Mưa Bão,0.819889,0.953678,0,0,89.8,Chiều,1.4
Đà Nẵng,,5,11.09,Xe ViP,Mưa,0.817226,0.438459,17,1,94.33,Cao điểm Tối,2.12
Hải Phòng,,6,19.64,Xe Máy,Nhiều Mây,0.613097,0.477911,17,1,93.62,Chiều,1
Hải Phòng,,4,11.02,Ô Tô 4 Chỗ,Nhiều Mây,0.781902,0.915012,19,0,92.5,Chiều,1.2
Hà Nội,,6,8.09,Ô Tô 4 Chỗ,Nhiều Mây,0.995208,0.523197,7,1,91.59,Cao điểm Sáng,1.23
Hải Phòng,,0,6.63,Xe ViP,Nhiều Mây,0.26972,0.515099,13,0,86.13,Đêm,1.37
Cần Thơ,,4,18.31,Xe ViP,Nắng,0.460189,0.594927,1,0,85.74,Cao điểm Sáng,1.56
Hải Phòng,,6,15.67,Xe ViP,Nhiều Mây,0.779112,0.700244,11,1,94.32,Cao điểm Tối,1.11
Đà Nẵng,,5,4.06,Xe ViP,Mưa,0.95024,0.961733,1,1,89.54,Cao điểm Tối,2.02
Hà Nội,,0,12.33,Xe Máy,Mưa Bão,0.540442,0.798371,14,0,85.11,Cao điểm Sáng,1.89
